,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,score_category,score_value,related_score,references,comments,organization,creation_date,last_update
599,veris,1.4.1,action.malware,action.malware.variety.C2,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1205,Traffic Signaling,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
600,veris,1.4.1,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1218.011,Rundll32,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
601,veris,1.4.1,action.malware,action.malware.variety.Backdoor,Malware creates a backdoor capability for hacking. Child of 'RAT' when combined with 'Trojan'. Child of 'Backdoor or C2'.,related-to,T1205.001,Port Knocking,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
602,veris,1.4.1,action.malware,action.malware.variety.Backdoor or C2,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1205.001,Port Knocking,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
603,veris,1.4.1,action.malware,action.malware.variety.C2,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1205.001,Port Knocking,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
604,veris,1.4.1,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1218.012,Verclsid,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
605,veris,1.4.1,action.malware,action.malware.variety.Capture app data,Capture data from application or system process,related-to,T1207,Rogue Domain Controller,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
606,veris,1.4.1,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1218.013,Mavinject,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
607,veris,1.4.1,action.malware,action.malware.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1211,Exploitation for Stealth,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
608,veris,1.4.1,action.social,action.social.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1211,Exploitation for Stealth,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
609,veris,1.4.1,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1218.014,MMC,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
610,veris,1.4.1,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,related-to,T1218.015,Electron Applications,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
611,veris,1.4.1,action.hacking,action.hacking.vector.Desktop sharing software,Superset of 'Desktop sharing' and '3rd party desktop'.  Please use in place of the other two,related-to,T1219.002,Remote Desktop Software,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
612,veris,1.4.1,action.malware,action.malware.variety.Disable controls,Disable or interfere with security controls,related-to,T1212,Exploitation for Credential Access,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
613,veris,1.4.1,action.malware,action.malware.variety.Password dumper,Password dumper (extract credential hashes),related-to,T1212,Exploitation for Credential Access,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
614,veris,1.4.1,action.malware,action.malware.vector.Web application - drive-by,"Web via auto-executed or ""drive-by"" infection. Child of 'Web application'.",related-to,T1212,Exploitation for Credential Access,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
615,veris,1.4.1,attribute.confidentiality,attribute.confidentiality.data_disclosure,Confirmed or potential data disclosure,related-to,T1212,Exploitation for Credential Access,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
